Organization/organizer,Title,Description (optional),URL of event,Location,"Category (e.g. hiking, birding, volunteering, class)",Start Date,End Date (if multi-day),Start Time,End Time,Free or paid?,RSVP info,Age group (if specified),Dog-friendly (if specified),Indoor or outdoor?,Imported to Google Calendar
Atlanta Science Festival,Wow in the World Pop Up Party,"The insanely popular science-themed podcast Wow in the World comes to life on stage with the Wow in the World Pop Up Party! Host Mindy Thomas will wow us with games and skits with mad musical accompaniment by the Pop Ups - creators of the Wow in the World theme song! Curious kids and their grown-ups will be immersed in science, wonder, imagination, and music and leave this event saying  WOW ! Launched in May... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/wow-in-the-world/,Atlanta,,2019-03-09,2019-03-09,11:00,12:00,,,,,,No
Atlanta Science Festival,Science of Superpowers,Atlanta's mightiest heroes have come together as a team for this special ASF event. That's right - we're bringing together superhero scientists and engineers to tell us more about what parts of superhero science are actual science and what is still science fiction. Ever wonder if you'll have A.I. that can transition to physical form? What are the chances that aliens will look human? Will soldiers have computerized weapons systems in an armored exoskeleton... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs),https://atlantasciencefestival.org/events-2019/science-of-superpowers/,Atlanta,,2019-03-09,2019-03-09,13:00,15:00,,,,,,No
Atlanta Science Festival,Mathapalooza!,"Explore the wonder of mathematics, art, performance, and magic! Spend the afternoon exploring puzzles and games, and engaging with mathematics through music, magic tricks, movement, and visual art. You will be amazed at the beauty of mathematics and how it shows up everywhere in our lives. Free parking is available on site. Advance registration is encouraged. Learn more at our Facebook event page. More Details AUDIENCE(S): Adults Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/mathapalooza/,Decatur,,2019-03-09,2019-03-09,13:00,17:00,,,,,,No
Atlanta Science Festival,Complete the Circuit: Meet a Woman Scientist!,"Young girls need female role models if we want to close the gender gap in science and engineering. This event is a chance for middle-school girls to meet face-to-face with real women in science, ask questions about their careers, and imagine themselves as scientists, too. Together, we ll build a circuit and play games to encourage discussion. Parents will learn about how to nurture their daughter s love of science and help them succeed. And there will... More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/complete-the-circuit-meet-a-woman-scientist/,Atlanta,,2019-03-09,2019-03-09,14:00,16:00,,,,,,No
Atlanta Science Festival,Not Just Newts: Behind the Scenes with the Amphibian Foundation,"SOLD OUT. Please check back in late February to see if we ve had any cancellations.Atlanta is home to a unique nonprofit dedicated to the conservation and research of amphibians amidst a global population decline. In 2016, the Amphibian Foundation formed to focus on conserving two of Georgia s most imperiled species (Gopher Frog and Flatwoods Salamander), and since then has begun working on other native and globally endangered amphibians. Closed to the public, this is a... More Details AUDIENCE(S): Families (kids & adults together) Teens (13-18 yrs) Adults Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/not-just-newts-behind-the-scenes-with-the-amphibian-foundation/,Atlanta,,2019-03-09,2019-03-09,14:00,16:00,,,,,,No
Atlanta Science Festival,Getting Dirty: Exploring Soil on Atlanta Farms,"Drop in anytime to this open house event to see what s in your soil and learn about urban agriculture in Atlanta! Learn from farmers and scientists about how to start your own garden, potential risks from soil contamination, and simple ways to clean your soil. Don t forget to bring your own soil in a Ziploc bag to be tested for heavy metals! Advance registration appreciated, but not required. Any who register in advance will be... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/getting-dirty-exploring-soil-on-atlanta-farms/,Atlanta,,2019-03-09,2019-03-09,14:00,17:00,,,,,,No
Atlanta Science Festival,Escape Lab,"It is the year 3018 and civilization is in ruins. You are searching for a way to rebuild society, and the key lies within the abandoned laboratories of Georgia Tech. Upon detection of your presence, the laboratories have gone into lockdown and you are trapped. Utilize your knowledge and intuition in order to escape and revitalize society. Create or join a team of up to 10 other scientists to solve these biology-, physics-, and chemistry-based challenges!... More Details AUDIENCE(S): Teens (13-18 yrs) Adults",https://atlantasciencefestival.org/events-2019/escape-lab/,Atlanta,,2019-03-09,2019-03-09,14:00,18:00,,,,,,No
Atlanta Science Festival,DESIGNORAMA,"Sharing our Science: Drew Charter School DESIGNORAMA is Drew Charter School's annual family-friendly celebration of inventing, making and creating. This event brings together makers, crafters, inventors, hackers, scientists, and artists for a fair full of fun and inspiration. Come see what others are making and be inspired to tap into your own creativity! Free parking is available on site. More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs)",https://atlantasciencefestival.org/events-2019/designorama/,Atlanta,,2019-03-09,2019-03-09,15:00,18:00,,,,,,No
Atlanta Science Festival,Superhero Science Night,"Calling all superheroes! Grab your super-suits and join us at Children s Museum of Atlanta to learn how to save the world with the power of STEM! Find out if your lungs can hold as much air as Aquaman s, learn how Iron Man uses forces to fly, shape magnetic fields like Polaris, and enter the Batcave to help catch Gotham s villains! You won t want to miss these out-of-this-world experiments, extraordinary shows, and incredible activities where both... More Details AUDIENCE(S): Families (kids & adults together) Children (5-12 yrs) Preschool (0-4 yrs)",https://atlantasciencefestival.org/events-2019/superhero-science-night/,Atlanta,,2019-03-09,2019-03-09,18:30,20:30,,,,,,No
Atlanta Science Festival,Guthman Musical Instrument Competition,"A music, engineering, and tech mashup, the Georgia Tech Margaret Guthman Musical Instrument Competition is an annual event aimed at identifying the world's next generation of musical instruments and unveiling the best new ideas in musicality, design, engineering, and impact. The Guardian called the competition ""The Pulitzer of the New Instrument World,"" and The New York Times described the ""special, otherworldly sound that you can feel permeating your soul"" which became the hallmark of... More Details AUDIENCE(S): Adults Families (kids & adults together) Teens (13-18 yrs)",https://atlantasciencefestival.org/events-2019/guthman-musical-instrument-competition/,Atlanta,,2019-03-09,2019-03-09,19:00,21:30,,,,,,No
